shortDescription,counterpartyId
John Lewis Cribbs Causew,40ead42b-5522-553f-8f63-dda6b381ba1e
Shell ARN Bristol,0fab2c7b-3a94-5609-8cb3-5cabe3cf221f
O2,85b6a93b-62e2-5dc7-8470-9dc91042b9e7
Amazon,ba4d83ec-3240-5d6e-b258-11e1c913da62
Sandwich Sandwich Bristol Centr,064a7ffb-1e23-5a84-8227-d847daa4b003
Legal & GEN MI C/L,56661e20-3048-5a24-b568-27994ad3d59d
Currys PC Cribbs Causway,eef96a45-cf5a-5359-b6b5-df235485cd5b
Aviva Life,a50977be-6dc7-562a-8ada-51b6a159d624
Bristol City Council,e6b97879-53b2-5b03-a05d-b56b9474aac8
Virgin Media Pymts,82bfd039-4c5d-5764-b94b-b66d164a79ef
Bristolwessexwater,7dd666e7-07e1-59d1-acfc-c07138ed3f92
Scottishpower,46201045-d628-5f57-a13a-7c1db87514b4
LAS Iguanas Rest.,485095ad-f2ca-5421-b662-f877723446ea
Starbucks Bristol,487de249-5048-54ef-8f77-4e3f207b825a
www.dominos.co.uk,2d47d94e-4da5-520b-8d65-596140ea3d05
Pret a Manger Bristol,64ac6d46-cd64-5c88-9072-d2f14806dbba
Costco Wholesale Bristol,4487394d-1c54-54cc-b297-0f540c8508b4
Spicer and Cole Bristol,a98b0462-1355-5b30-8100-773155d0bfba
Mcdonalds Rest.,a79937b7-cfe8-5929-a4d8-96c0dbd68247
